freq	dB(S(1,1))
1.27000000000000002E9	-3.14844219187111607E1
1.28000000000000003E9	-3.16897872558772642E1
1.29000000000000004E9	-3.17327393752295350E1
1.30000000000000004E9	-3.20736247093692617E1
1.31000000000000005E9	-3.24557704647657363E1
1.31999999999999984E9	-3.30620802085950549E1
1.33000000000000007E9	-3.33553180948403361E1
1.34000000000000008E9	-3.40003932612369164E1
1.35000000000000009E9	-3.42727528220450761E1
1.35999999999999988E9	-3.45243645338287575E1
1.36999999999999988E9	-3.45897845295258843E1
1.38000000000000012E9	-3.47715438536169241E1
1.39000000000000012E9	-3.47284380233295931E1
1.39999999999999991E9	-3.48672994301220962E1
1.40999999999999992E9	-3.52885677630150463E1
1.41999999999999993E9	-3.57865861480018932E1
1.43000000000000016E9	-3.63908939044604285E1
1.43999999999999995E9	-3.72145430776587816E1
1.44999999999999996E9	-3.79759534667575460E1
1.45999999999999996E9	-3.89677646200331784E1
1.46999999999999997E9	-4.00252093592049896E1
1.47999999999999998E9	-4.11538152689154124E1
1.48999999999999999E9	-4.27084120802848499E1
1.50000000000000000E9	-4.38530279514565091E1
1.51000000000000001E9	-4.37464670219968355E1
1.52000000000000002E9	-4.24963064348616104E1
1.53000000000000003E9	-4.08212079956036789E1
1.54000000000000004E9	-3.92831627723418464E1
1.55000000000000004E9	-3.82588600000000145E1
1.56000000000000005E9	-3.74703352417416458E1
1.56999999999999984E9	-3.72429891002665281E1
1.58000000000000007E9	-3.77512025546054542E1
1.59000000000000008E9	-3.83757613267084263E1
1.60000000000000009E9	-3.92559602244839789E1
1.61000000000000010E9	-4.03336327118956461E1
1.61999999999999988E9	-4.11469734917690388E1
1.63000000000000012E9	-4.17762798684796621E1
1.63999999999999990E9	-4.11261528180229963E1
1.64999999999999991E9	-4.02734922313734423E1
1.66000000000000014E9	-3.93785492623478550E1
1.66999999999999993E9	-3.85454970875679859E1
1.68000000000000016E9	-3.77376760703805880E1
1.68999999999999995E9	-3.68339221989195043E1
1.69999999999999996E9	-3.60823342484837051E1
1.71000000000000019E9	-3.52363584024971033E1
1.71999999999999997E9	-3.47617133849145343E1
1.72999999999999998E9	-3.40826938855551820E1
1.73999999999999977E9	-3.35870698814416091E1
1.75000000000000000E9	-3.32481074516873054E1
1.76000000000000023E9	-3.29974175502258316E1
1.77000000000000002E9	-3.28431152502641854E1
1.78000000000000003E9	-3.26175539727368058E1
1.78999999999999981E9	-3.25641749764874877E1
1.80000000000000004E9	-3.25509384826754644E1
1.81000000000000005E9	-3.24421883853790316E1
1.81999999999999984E9	-3.23232319894979403E1
1.83000000000000007E9	-3.20953194798100938E1
1.83999999999999986E9	-3.19327000000000139E1
1.85000000000000009E9	-3.18379092234889027E1
1.86000000000000010E9	-3.18483588289540798E1
1.86999999999999988E9	-3.17413292197995434E1
1.88000000000000012E9	-3.16529313139674251E1
1.88999999999999990E9	-3.15460579211712666E1
1.89999999999999991E9	-3.14610742316500058E1
1.91000000000000014E9	-3.14967923282859941E1
1.91999999999999993E9	-3.16238072968173833E1
1.93000000000000016E9	-3.16655182429845539E1
1.93999999999999995E9	-3.16321029247402485E1
1.94999999999999996E9	-3.14121521776117074E1
1.96000000000000019E9	-3.13229792434277154E1
1.96999999999999997E9	-3.11733732088913262E1
1.97999999999999998E9	-3.10384857520076851E1
1.98999999999999977E9	-3.10943641283746919E1
2.00000000000000000E9	-3.11806010428083180E1
2.01000000000000023E9	-3.12362716896882509E1
2.02000000000000002E9	-3.18190200783520583E1
2.03000000000000025E9	-3.21951924484123087E1
2.04000000000000004E9	-3.24420626442509885E1
2.04999999999999982E9	-3.28199451103672013E1
2.06000000000000005E9	-3.31681566162747732E1
2.06999999999999984E9	-3.34224443246181968E1
2.08000000000000007E9	-3.35146390544507700E1
2.08999999999999986E9	-3.37016965481191733E1
2.10000000000000009E9	-3.38909891926781537E1
2.11000000000000032E9	-3.39719423452513780E1
2.12000000000000011E9	-3.40667799454548836E1
2.12999999999999989E9	-3.40639899999999551E1
2.13999999999999968E9	-3.41288198792975006E1
2.14999999999999991E9	-3.40973701586065925E1
2.16000000000000014E9	-3.42983515770216218E1
2.16999999999999993E9	-3.46453324091302628E1
