"Freq [GHz]","dB(S(1,1)) [] - $Er='2.5'","dB(S(1,1)) [] - $Er='2.6'","dB(S(1,1)) [] - $Er='2.7'","dB(S(1,1)) [] - $Er='2.8'","dB(S(1,1)) [] - $Er='2.9'","dB(S(1,1)) [] - $Er='3'","dB(S(1,1)) [] - $Er='3.1'","dB(S(1,1)) [] - $Er='3.2'","dB(S(1,1)) [] - $Er='3.3'","dB(S(1,1)) [] - $Er='3.4'","dB(S(1,1)) [] - $Er='3.5'","dB(S(1,1)) [] - $Er='3.6'","dB(S(1,1)) [] - $Er='3.7'","dB(S(1,1)) [] - $Er='3.8'","dB(S(1,1)) [] - $Er='3.9'","dB(S(1,1)) [] - $Er='4'","dB(S(1,1)) [] - $Er='4.4'"
1.65,-23.2373733236399,-43.4688222410576,-36.9139043694295,-42.4999578256775,-63.7220355400889,-46.1248037453465,-34.9336761616468,-31.0096246906937,-30.7883219385705,-41.0603242942076,-34.9193748559463,-41.6761675458057,-32.4579856676014,-40.9553161120322,-35.5941566995329,-32.2757506228493,-45.511892260119
1.66,-23.2049376408016,-43.4838761129856,-36.8019262886269,-42.2042351980657,-63.025609587981,-46.5485580391155,-34.8313278675939,-31.0298373013007,-30.7215484899895,-40.5773578625336,-35.0476543004624,-41.0213527391291,-32.396070784576,-40.7258608783766,-35.4607211637947,-32.4003222696752,-45.5927721254888
1.67,-23.1777258149865,-43.5054021166171,-36.6963679243649,-41.9208639621034,-61.9145663561879,-46.9737193176483,-34.7342829785101,-31.0569070783564,-30.6607922931964,-40.1213382310106,-35.1888617539828,-40.4114735879624,-32.339282951683,-40.5109900878305,-35.3372322892659,-32.5352004355291,-45.6852743561254
1.68,-23.1556951127329,-43.5336234883708,-36.5970722451161,-41.6489323604117,-60.6572298656743,-47.394738583603,-34.6423260030637,-31.0909169187916,-30.6059549773633,-39.6900894486328,-35.3433932783615,-39.8416531880784,-32.2875856375655,-40.3101014304807,-35.2234732194299,-32.6806813485472,-45.7901001241057
1.69,-23.1388083883242,-43.5687474161237,-36.5038912688783,-41.3876099326202,-59.4095151621656,-47.8044322763614,-34.5552550630559,-31.1319509786039,-30.5569467910333,-39.2817338584463,-35.511697922067,-39.3078653168028,-32.2409440014767,-40.1225953592091,-35.1192209372105,-32.837089522078,-45.9078813246376
1.7,-23.127034008569,-43.6109693114284,-36.4166853962345,-41.1361383217525,-58.2369760374515,-48.1938186243218,-34.4728817554083,-31.1800941420304,-30.513686500405,-38.8946448300606,-35.6942828311972,-38.8067636580331,-32.1993245207369,-39.9478804474848,-35.0242449593078,-33.004779361825,-46.0391494935451
1.71,-23.1203458023195,-43.6604768421295,-36.335322807524,-40.8938235314248,-57.1587765528497,-48.5521405137013,-34.395030993387,-31.2354315396528,-30.4761013304277,-38.5274079361709,-35.8917191658423,-38.3355496243805,-32.1626946600529,-39.7853783415481,-34.9383065947666,-33.1841368710332,-46.1842931010158
1.72,-23.1187230330869,-43.7174537331612,-36.2596789180458,-40.6600293666249,-56.1744892154829,-48.8672072253109,-34.3215408254876,-31.2980481193099,-30.444126940029,-38.1787888928999,-36.1046489344735,-37.8918690992187,-32.1310225844011,-39.6345284589285,-34.86115876803,-33.3755814228814,-46.34349966775
1.73,-23.1221503933357,-43.7820833517931,-36.1896358857111,-40.4341718437105,-55.2766175991147,-49.126178448162,-34.2522622309643,-31.3680282721231,-30.4177074234442,-37.8477069262147,-36.3337928714217,-37.4737309322377,-32.1042769168745,-39.4947925385021,-34.7925464053385,-33.5795675497355,-46.5166783207656
1.74,-23.1306180192499,-43.8545520997525,-36.1250821660153,-40.2157143968547,-54.4558576668378,-49.3168301834115,-34.187058891389,-31.4454555140284,-30.3967953302157,-37.5332125052998,-36.5799594919549,-37.0794419060694,-32.0824265425391,-39.3656591187799,-34.7322073836985,-33.796586670418,-46.703357625436
